source_key,source_name,source_version,country_code,admin1_code,scientific_name,source_taxon_id,accepted_name_usage,vernacular_name,language,script,region,rank,licence,source_url,citation,name_class,review_state,precision_tier,confidence,table_type
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Lime butterfly,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Common Lime Butterfly,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Lime Swallowtail,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Lemon Butterfly,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Citrus Swallowtail,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Chequered Swallowtail,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Checkered Swallowtail,eng,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Voilier échiquier,fra,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D/T
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Voilier échiqueté,fra,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D/T
papilio_demoleus_multilingual_t5,Multilingual T5,2026-07-static-v1,001,,Papilio demoleus,curated:papilio-demoleus,Papilio demoleus,Machaon à carreaux,fra,Latn,001,species,not_configured,,User-provided Multilingual T5 table 2026-07-08,vernacular_alias,reviewed,medium,medium,D/T
